,name,rating,provider,lat,lon,city
247,Komagene Etsiz Çiğ Köfte,4.0,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
248,"Çorbacı Osman Usta, Çankaya (Kocatepe Mah.)",4.1,GETIR,39.9334,32.8597,ANKARA
249,"Gadasını Aldığım Mantı & Mutfak, Çankaya (Yukarı Bahçelievler .)",4.3,GETIR,39.9334,32.8597,ANKARA
250,"Bülent Börek, Çankaya (Korkutreis Mah.)",4.4,GETIR,39.9334,32.8597,ANKARA
251,İnce Profiterol (Fulya Mah.),4.6,GETIR,41.0082,28.9784,ISTANBUL
252,Çin Büfe & Sushi (Kuloğlu Mah.),4.8,GETIR,41.0082,28.9784,ISTANBUL
253,"Hacı İsmailoğlu, Çankaya (Bahçelievler Mah.)",4.6,GETIR,39.9334,32.8597,ANKARA
254,Aydın Köfte & Pide Lahmacun (İskenderpaşa Mah.),4.5,GETIR,41.0082,28.9784,ISTANBUL
255,Mehmet Chef Pide & Lahmacun,3.5,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
256,Masabaşı Kebapçısı (Remzi Oğuz Arık Mah.),4.6,GETIR,39.9334,32.8597,ANKARA
257,Hot Döner (Hirkai Şerif Mah.),4.1,GETIR,41.0082,28.9784,ISTANBUL
258,Route Burger House,4.4,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
259,Rezzan Kebap ve Pide Salonu (Muhsine Hatun Cad.),3.9,GETIR,41.0082,28.9784,ISTANBUL
260,Hacıbey,4.3,YEMEK_SEPETI,38.6748,39.2225,ELAZIĞ
261,"Afilli Pizza, Çankaya (Fakülteler Mah.)",4.7,GETIR,39.9334,32.8597,ANKARA
262,"Gaziantepli Muhteşem Baklava & Künefe, Merkez (Sürsürü Mah.)",4.9,GETIR,38.6748,39.2225,ELAZIĞ
263,Yaz Döner (Akşemsettin Mah.),4.4,GETIR,41.0082,28.9784,ISTANBUL
264,"Asmalı, Merkez (Çaydaçıra Mah.)",4.6,GETIR,38.6748,39.2225,ELAZIĞ
265,Mayonez Döner (Maltepe Mah.),3.5,GETIR,39.9334,32.8597,ANKARA
266,Liva (Küçükesat Mah.),4.6,GETIR,39.9334,32.8597,ANKARA
267,"Alo Mangal, Merkez (Sürsürü Mah.)",4.0,GETIR,38.6748,39.2225,ELAZIĞ
268,İkizler Pilavcısı,4.4,YEMEK_SEPETI,41.0082,28.9784,ISTANBUL
269,Ali Muhiddin Hacı Bekir (Hobyar Mah.),5.0,GETIR,41.0082,28.9784,ISTANBUL
